tender_id,category,region,agency,estimated_value,bid_deadline,award_date,vendor_id,vendor_name,vendor_address,bid_amount,is_winner
T0018,Sanitation Services,North Zone,Public Works Dept,116952.71,2025-06-03,,V006,Crest Logistics,"105 Market Street, City 1",130559.34,False
T0046,IT Hardware,North Zone,IT Dept,190836.66,2025-02-15,,V901,Apex Infra Solutions,42 Industrial Park Road,243856.69,False
T0001,IT Hardware,East Zone,IT Dept,188642.84,2025-01-01,,V015,Evergreen Services,"114 Market Street, City 2",182858.97,False
T0042,IT Hardware,East Zone,IT Dept,202533.34,2026-01-05,,V003,Horizon Traders,"102 Market Street, City 2",212945.47,False
T0054,Specialized Medical Devices,South Zone,Health Dept,305967.9,2025-03-01,,V802,BioCore Instruments,77 Innovation Lane,293640.63,False
T0015,IT Hardware,West Zone,Health Dept,201501.6,2025-05-07,2025-05-14,V007,Falcon Works,"106 Market Street, City 2",175077.6,True
T0023,Office Supplies,South Zone,Health Dept,53495.36,2025-07-18,,V007,Falcon Works,"106 Market Street, City 2",60867.82,False
T0005,Sanitation Services,West Zone,Municipal Corp,133897.73,2025-02-06,,V017,Vertex Solutions,"116 Market Street, City 0",136327.13,False
T0014,Road Construction,North Zone,Public Works Dept,314124.19,2025-04-28,,V007,Falcon Works,"106 Market Street, City 2",363049.34,False
T0023,Office Supplies,South Zone,Health Dept,53495.36,2025-07-18,,V015,Evergreen Services,"114 Market Street, City 2",60628.2,False
T0055,Specialized Medical Devices,East Zone,Health Dept,331027.74,2025-03-21,,V802,BioCore Instruments,77 Innovation Lane,327993.99,False
T0033,IT Hardware,North Zone,Health Dept,164976.7,2025-10-16,,V008,Riverbend Contractors,"107 Market Street, City 3",162420.85,False
T0026,IT Hardware,North Zone,Municipal Corp,214790.26,2025-08-14,,V002,Metro Constructions,"101 Market Street, City 1",234813.53,False
T0036,Medical Equipment,South Zone,Municipal Corp,133865.65,2025-11-12,2025-11-24,V013,Pioneer Infra,"112 Market Street, City 0",126077.97,True
T0043,IT Hardware,South Zone,Municipal Corp,211622.4,2026-01-14,2026-02-01,V005,Bluewave Systems,"104 Market Street, City 0",193221.54,True
T0050,IT Hardware,North Zone,IT Dept,190972.45,2025-04-12,,V902,Zenith Infra Works,42 Industrial Park Road,256568.5,False
T0026,IT Hardware,North Zone,Municipal Corp,214790.26,2025-08-14,,V009,Cedar Point Inc,"108 Market Street, City 0",249218.31,False
T0026,IT Hardware,North Zone,Municipal Corp,214790.26,2025-08-14,,V001,Alpine Builders,"100 Market Street, City 0",249828.69,False
T0041,Road Construction,West Zone,Public Works Dept,406524.02,2025-12-27,,V005,Bluewave Systems,"104 Market Street, City 0",417742.89,False
T0017,Sanitation Services,East Zone,Health Dept,144550.08,2025-05-25,,V008,Riverbend Contractors,"107 Market Street, City 3",137949.7,False
T0014,Road Construction,North Zone,Public Works Dept,314124.19,2025-04-28,,V017,Vertex Solutions,"116 Market Street, City 0",307477.06,False
T0044,Sanitation Services,South Zone,Municipal Corp,124817.45,2026-01-23,,V012,Union Traders,"111 Market Street, City 3",130048.97,False
T0049,IT Hardware,North Zone,IT Dept,187764.7,2025-03-29,2025-04-01,V902,Zenith Infra Works,42 Industrial Park Road,239104.92,True
T0011,Office Supplies,North Zone,Health Dept,45707.81,2025-04-01,,V011,Silverline Corp,"110 Market Street, City 2",42083.09,False
T0001,IT Hardware,East Zone,IT Dept,188642.84,2025-01-01,,V018,Granite Infra,"117 Market Street, City 1",172316.79,False
T0006,Road Construction,North Zone,Public Works Dept,428922.71,2025-02-15,,V006,Crest Logistics,"105 Market Street, City 1",505579.8,False
T0012,IT Hardware,West Zone,Health Dept,174800.83,2025-04-10,,V017,Vertex Solutions,"116 Market Street, City 0",171805.62,False
T0028,Road Construction,East Zone,Municipal Corp,431998.47,2025-09-01,,V004,Summit Supplies,"103 Market Street, City 3",434655.88,False
T0039,Road Construction,East Zone,Health Dept,422739.02,2025-12-09,,V004,Summit Supplies,"103 Market Street, City 3",492996.99,False
T0044,Sanitation Services,South Zone,Municipal Corp,124817.45,2026-01-23,,V017,Vertex Solutions,"116 Market Street, City 0",125588.32,False
T0033,IT Hardware,North Zone,Health Dept,164976.7,2025-10-16,,V005,Bluewave Systems,"104 Market Street, City 0",162865.91,False
T0013,Medical Equipment,East Zone,Public Works Dept,167501.06,2025-04-19,2025-04-30,V015,Evergreen Services,"114 Market Street, City 2",146542.83,True
T0016,Office Supplies,South Zone,Public Works Dept,40188.78,2025-05-16,,V011,Silverline Corp,"110 Market Street, City 2",41656.67,False
T0008,Office Supplies,South Zone,Health Dept,44430.29,2025-03-05,2025-03-13,V018,Granite Infra,"117 Market Street, City 1",38615.04,True
T0014,Road Construction,North Zone,Public Works Dept,314124.19,2025-04-28,,V001,Alpine Builders,"100 Market Street, City 0",360553.68,False
T0028,Road Construction,East Zone,Municipal Corp,431998.47,2025-09-01,,V013,Pioneer Infra,"112 Market Street, City 0",480679.59,False
T0029,Sanitation Services,North Zone,IT Dept,94735.4,2025-09-10,,V008,Riverbend Contractors,"107 Market Street, City 3",107090.17,False
T0020,IT Hardware,East Zone,Sanitation Board,153086.07,2025-06-21,,V005,Bluewave Systems,"104 Market Street, City 0",151729.22,False
T0049,IT Hardware,North Zone,IT Dept,187764.7,2025-03-29,,V901,Apex Infra Solutions,42 Industrial Park Road,239903.12,False
